name,feedback,registered since,review,product on sale number
"toleranz2010
",383,26. Jul. 2005,YES,1
"kartchamp0
",440,06. Jun. 2003,NO,0
"rohrkiller01
",309,09. Sep. 2013,NO,0
"malukov
",946,29. Aug. 2006,NO,0
"ingrid-6317
",493,31. Aug. 2007,NO,0
"snied123
",572,12. Jul. 2006,NO,0
"hexe_chrissi
",895,08. Sep. 2002,NO,0
"otmarp2006
",301,01. Feb. 2006,NO,0
"super-geil-2002
",386,03. Okt. 2001,NO,0
"dominiktoretto
",493,02. Mrz. 2003,NO,0
"rum1888
",919,01. Apr. 1999,YES,0
"gx-98
",289,01. Jul. 2001,NO,0
"sandteufel69
",989,12. Feb. 2008,YES,0
"323c-fan
",939,15. Nov. 2001,NO,0
"roterbiker
",512,12. Jun. 2002,NO,0
"kpb49
",419,24. Jul. 2000,NO,0
"agger110
",398,26. Aug. 2002,NO,1
"fcefan001
",687,01. Apr. 2003,NO,0
"millaja888
",469,18. Sep. 2007,YES,0
"renttip2000
",317,29. Dez. 2000,NO,0
"agamito
",317,15. Mai. 2003,NO,0
"karina0311
",296,29. Mai. 2001,NO,0
"kguitw111
",417,22. Sep. 2004,NO,0
"julchen1231
",452,05. Feb. 2001,NO,0
"reinerinni
",319,30. Jun. 2003,NO,0
"pegilgl
",811,25. Dez. 2005,NO,0
"pumpido
",598,01. Apr. 1999,NO,0
"nikita2003nikita
",450,24. Jul. 2003,YES,0
"trabbikuebel74
",797,27. Nov. 2000,NO,0
"5mak
",256,01. Apr. 1999,NO,0
"kieferkai
",269,26. Dez. 2008,NO,0
"aro1979
",336,24. Mrz. 2003,NO,0
"nina191976
",256,11. Mai. 2005,NO,0
"blaublaumagic
",667,20. Aug. 2004,NO,0
"jan-erik05
",329,02. Jan. 2005,NO,0
"moppel880
",545,13. Mrz. 2003,NO,0
"aleyta
",289,18. Mrz. 2002,NO,0
"5446ingrid
",415,01. Feb. 2006,NO,0
"jochna
",289,10. Nov. 2001,NO,0
"tipo419
",487,16. Okt. 2002,NO,0
"chrischan1966
",474,30. Apr. 2008,NO,0
