Name,Category,Sub-Category,Price,Competitor Price,Color,Size,Stock,CARE,Texture,Finish,Feel,Quality,Notes,Important Note,Images,Project Images,Product URL
ACORN DISTRESS,Leather Remnants,Acorn Distress,$82.50,,RICH TAN BROWN,"APPROX 22 sq ft (Table is 5 foot wide, Grid squares are 12 x 12)",CLOSEOUT ITEM,STANDARD,NATURAL DISTRESS,MEDIUM SHEEN,SOFT WITH A LIGHT WAXY FEEL,PREMIUM FULL GRAIN,"Acorn Distress is a beautiful brown distressed leather. This is a mixed lot, meaning color will slightly vary from hide to hide and are generally ideal for smaller projects. Remnants may have deep fold lines that could impact use, please review images carefully. The piece pictured is the piece you will receive. Please contact our sales team with any questions or concerns. LHS is proud to offer this premium full-grain leather as a partial hide at true wholesale prices! Approx. weight: 2.6 oz/sq ft. Approx. thickness: 1.0–1.2 mm.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/0/0/000a_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2.jpg,,https://www.leatherhidestore.com/catalog/product/view/id/31915/s/acorn-distress-18/category/2539/
SWEET CASHEW,Leather Remnants,Sweet Cashew,$63.75,,MEDIUM BROWN WITH LIGHT UNDERTONES,"APPROX 17 SF (Table is 5 foot wide, Grid squares are 12 x 12)",CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM SHEEN,VERY SOFT,PREMIUM FULL GRAIN,"Sweet Cashew is a beautiful soft brown leather with gorgeous light undertones. This is a mixed lot, meaning color will vary from hide to hide and are generally ideal for smaller projects. Remnants may have deep fold lines that could impact use, please review images carefully. The piece pictured is the piece you will receive. Please contact our sales team with any questions or concerns. LHS is proud to offer this premium full-grain leather as a partial hide at true wholesale prices! Approx. weight: 2.6–3.0 oz/sq ft. Approx. thickness: 1.0–1.2 mm.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/0/s/0sweet1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,,https://www.leatherhidestore.com/sweet-cashew-mix-lot-18.html
,Leather Remnants,Leather Scrap,$21.85,,VARIOUS COLORS W/ BROWN MOST COMMON,5 POUND BOX,STOCK ITEM,STANDARD,NATURAL GRAIN / SOME VARIATION,MEDIUM SHEEN / SOME VARIATION,VERY SOFT,PREMIUM UPHOLSTERY LEATHER SCRAP,"PLEASE NOTE: PRODUCT ONLY AVAILABLE IN THE US. Leather Hide Store is proud to offer these craft size leather scraps that are packed in a USPS, Medium, Priority Flate Rate Box. These boxes are prepackaged with approx. 5 lbs of leather scrap with different size pieces and cuttings of various thickness, grain, and color with shades of brown being most common. Please, note that chalk may be present on some pieces. The picture is a good representation of our scrap box, but will not be the exact contents that you will receive, no box is the same. LOTS OF LEATHER SCRAP TO WORK WITH!","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/b33e3b557dcb005d0bdc19a853c336c0/s/c/scrap_box_4_1.jpg,"https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg",https://www.leatherhidestore.com/leather-scrap-box.html
HOUSE SPARROW,Leather Remnants,House Sparrow,$97.50,,SANDY BROWN,"APPROX 26 sq ft (table is 5 foot wide, grid squares are 12 x 12)",CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM,BUTTERY SOFT,FULL-GRAIN,"House Sparrow is a beautiful light brown leather with a rich, buttery soft feel. These partial hides are part of a mixed lot, meaning color may slightly vary from hide to hide and are generally ideal for smaller projects. Some remnants may have deep fold lines that can impact use, please review images carefully or contact us if a specific yield or multiple matching pieces are required. The picture shown is the hide you will receive. Approx Weight: 2.6–3.0 oz/sq ft. Approx Thickness: 1.0–1.2 mm.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/1/h/1hs_1_2_1_1_1_1_1.jpg,,https://www.leatherhidestore.com/house-sparrow-19.html
ITALIAN SILK LIGHT GREY,Leather Remnants,Italian SIlk Light Grey,$71.25,,NATURAL GREY,"APPROX 19 SF (table is 5 ft wide, grid squares are 12 x 12)",CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM,BUTTERY SOFT,FULL-GRAIN,"Italian Silk Light Grey is a beautiful leather with a rich, buttery soft feel. This is a mixed lot, meaning color will vary from hide to hide and are generally ideal for smaller projects. Remnants may have deep fold lines that could impact yield, please review images carefully. The piece pictured is the piece you will receive. LHS is proud to offer this premium full grain leather as a partial hide at great savings. Approx. weight: 2.6–3.0 oz/sq ft. Approx. thickness: 1.0–1.2 mm.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/a/i/aisl2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,,https://www.leatherhidestore.com/italian-silk-light-grey-24.html
ROASTED CASHEW,Leather Remnants,Roasted Cashew Distress,$105.28,,SOFT BROWN,"APPROX 28 SF (Table is 5 foot wide, Grid squares are 12 x 12)",CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM SHEEN,VERY SOFT,PREMIUM FULL GRAIN,"Roasted Cashew is a beautiful soft brown leather with gorgeous light undertones. This is a mixed lot, meaning color will vary from hide to hide and are generally ideal for smaller projects. Remnants may have deep fold lines that could impact use, please review images carefully. The piece pictured is the piece you will receive. Please contact our sales team with any questions or concerns. LHS is proud to offer this premium full-grain leather as a partial hide at true wholesale prices! Approx. weight: 2.6–3.0 oz/sq ft. Approx. thickness: 1.0–1.2 mm.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/a/r/araosted_cashew_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,,https://www.leatherhidestore.com/roasted-cashew-mix-lot-18.html
HOUSE SPARROW,Leather Remnants,House Sparrow,$67.50,,SANDY BROWN,"APPROX 18 sq ft (table is 5 foot wide, grid squares are 12 x 12)",CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM,BUTTERY SOFT,FULL-GRAIN,"House Sparrow is a beautiful light brown leather with a rich, buttery soft feel. These partial hides are part of a mixed lot, meaning color may slightly vary from hide to hide and are generally ideal for smaller projects. Some remnants may have deep fold lines that can impact use, please review images carefully or contact us if a specific yield or multiple matching pieces are required. The picture shown is the hide you will receive. Approx Weight: 2.6–3.0 oz/sq ft. Approx Thickness: 1.0–1.2 mm.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/1/h/1hs_1_2_1_1_1_1_1_1_1.jpg,,https://www.leatherhidestore.com/house-sparrow-21.html
GOLD RUSH DISTRESS,Leather Remnants,Gold Rush Distress,$138.75,,LIGHT BROWN WITH GOLDEN UNDERTONES,"APPROX 37 SF (Table is 5 foot wide, Grid squares are 12 x 12)",CLOSEOUT ITEM,STANDARD,NATURAL DISTRESS,MEDIUM SHEEN,SOFT WITH A LIGHT WAXY FEEL,PREMIUM FULL GRAIN,"Gold Rush Distress is a beautiful light brown distressed leather with stunning golden undertones. This is a mixed lot, meaning color and undertones will slightly vary from hide to hide and are generally ideal for smaller projects. Remnants may have deep fold lines that could impact use, please review images carefully. The piece pictured is the piece you will receive. Please contact our sales team with any questions or concerns. LHS is proud to offer this premium full-grain leather as a partial hide at true wholesale prices! Approx. weight: 2.6 oz/sq ft. Approx. thickness: 1.0–1.2 mm.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/0/0/00000final1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,,https://www.leatherhidestore.com/gold-rush-distress-mix-lot-88.html
CHOCOLATE MOUSSE,Leather Remnants,Chocolate Mousse,$75.00,,RICH DISTRESSED BROWN WITH LIGHT UNDERTONES,"APPROX 20 SF (Table is 5 foot wide, Grid squares are 12 x 12)",CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM SHEEN,VERY SOFT,PREMIUM FULL GRAIN,"Chocolate Mousse is a rich chocolate brown distressed leather with gorgeous undertones. This is a mixed lot, meaning color will slightly vary from hide to hide and are generally ideal for smaller projects. Remnants may have deep fold lines that could impact use, please review images carefully. The piece pictured is the piece you will receive. Please contact our sales team with any questions or concerns. LHS is proud to offer this premium full-grain leather as a partial hide at true wholesale prices! Approx. weight: 2.6–3.0 oz/sq ft. Approx. thickness: 1.0–1.2 mm.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/0/0/000a1_5_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,,https://www.leatherhidestore.com/chocolate-mousse-mix-lot-96.html
SWEET CASHEW,Leather Remnants,Sweet Cashew,$78.75,,MEDIUM BROWN WITH LIGHT UNDERTONES,"APPROX 21 SF (Table is 5 foot wide, Grid squares are 12 x 12)",CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM SHEEN,VERY SOFT,PREMIUM FULL GRAIN,"Sweet Cashew is a beautiful soft brown leather with gorgeous light undertones. This is a mixed lot, meaning color will vary from hide to hide and are generally ideal for smaller projects. Remnants may have deep fold lines that could impact use, please review images carefully. The piece pictured is the piece you will receive. Please contact our sales team with any questions or concerns. LHS is proud to offer this premium full-grain leather as a partial hide at true wholesale prices! Approx. weight: 2.6–3.0 oz/sq ft. Approx. thickness: 1.0–1.2 mm.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/0/s/0sweet1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,,https://www.leatherhidestore.com/sweet-cashew-mix-lot-17.html
